Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
ITS 6.52,5deb576d1dc17d7c5515ad0a,ITS 6.52,"[10.795418, 106.655729]",tth,True,,UP,True,,Hoàng Văn Thụ - Xuân Diệu,,0,12/10/19 9:15,11/18/25 17:15
TTH 42.2,58744e3eb807da0011e33cb7,TTH 42.2,"[10.7444131987789, 106.688919067383]",tth,True,,UP,False,30,Dương Bá Trạc - Hẻm 288,,0,5/20/17 11:14,10/23/25 6:10
TTH 42.1,58744dd9b807da0011e33cb5,TTH 42.1,"[10.7341621509602, 106.656190752983]",tth,True,,UP,False,180,Quốc lộ 50 - Tạ Quang Bửu,,0,5/20/17 11:14,10/23/25 6:10
TTH 24.3,56df8416c062921100c143e4,TTH 24.3,"[10.8143956125566, 106.678592562675]",tth_axis,True,Management Center of Sai Gon River Tunnel,NOT_IMAGE,False,105,Nút giao Nguyễn Thái Sơn 2 (Nguyễn Kiệm),,0,5/20/17 11:14,12/10/19 9:32
BD 5.1,68ede438230ee50017d04a79,BD 5.1,"[10.8992431864459, 106.819392442703]",generic,True,,UP,False,,Mỹ Phước Tân Vạn - ĐT 743A (1),,0,10/16/25 20:39,11/19/25 17:38
TTH 454,68188e466dfb4b0018f902f2,TTH 454,"[10.8295124133666, 106.52455329895]",tth,True,,NOT_IMAGE,False,15,Thanh Niên - gần chùa Liên Hoa,,0,5/5/25 17:22,10/16/25 20:40
TTH 12.1,56de42f611f398ec0c481290,TTH 12.1,"[10.7493356862526, 106.673292517662]",tth,True,Management Center of Sai Gon River Tunnel,UP,True,120,Võ Văn Kiệt - An Bình,,0,5/20/17 11:14,11/8/25 23:20
TTH 425,681883b46dfb4b0018f8ef39,TTH 425,"[10.7801916331905, 106.516485214233]",tth,True,,UP,False,300,Lê Chính Đang 1,,0,5/5/25 17:22,11/20/25 0:22
TTH 35.4,58af8b69bd82540010390c28,TTH 35.4,"[10.7832744191822, 106.69091463089]",tth,True,,UP,False,300,Nam Kỳ Khởi Nghĩa - Điện Biên Phủ 1,,0,5/20/17 11:14,11/13/25 22:01
TTH 257,6623e3a26f998a001b252291,TTH 257,"[10.7843863222755, 106.684466600418]",tth,True,,UP,True,,Lý Chính Thắng - Trần Quốc Thảo,,0,4/29/24 14:04,11/18/25 17:23
TTH 47.3,589b3ceeb3bf7600110283c3,TTH 47.3,"[10.8837348196645, 106.587172150612]",tth,True,,UP,False,315,QL 22 - Nguyễn Văn Bứa 1,,0,5/20/17 11:14,7/18/25 15:54
TTH 21.63,595dcab53dcfc400106f289d,TTH 21.63,"[10.861629788009, 106.678490638733]",tth,True,,UP,False,270,Quốc lộ 1 - BQB Trước bến xe Ngã 4 Ga (hướng đi Bình Phước),,0,7/21/18 7:03,11/7/25 13:02
TTH 44.3,58ad7291bd82540010390bf9,TTH 44.3,"[10.8038413260585, 106.687197089195]",tth,True,,UP,False,270,Phan Đăng Lưu - Nguyễn Văn Đậu,,0,5/20/17 11:14,11/18/25 10:20
